,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
133,2099,PROVENANCE,91926,100754,141424,2.094677e+06,2.35769708e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:21.995239602
134,,PROVENANCE,,,,,,2099,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:21.995239602
135,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:21.995239602
136,2159,PROVENANCE,78175,86726,123467,2.083589e+06,2.09452981e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:24.995261013
137,2159,PROVENANCE,91800,100634,141397,2.094677e+06,2.42026283e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:24.995261013
138,,PROVENANCE,,,,,,2159,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:24.995261013
139,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:24.995261013
140,2219,PROVENANCE,78139,86715,123804,2.083589e+06,2.15240273e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:27.995233221
141,2219,PROVENANCE,91780,100597,141255,2.094677e+06,2.48684569e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:27.995233221
142,,PROVENANCE,,,,,,2219,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:27.995233221
143,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:27.995233221
144,2279,PROVENANCE,78209,87056,124372,2.083589e+06,2.21412321e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:30.995267056
145,2279,PROVENANCE,91995,100921,141424,2.094677e+06,2.55743294e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:30.995267056
146,,PROVENANCE,,,,,,2279,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:30.995267056
147,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:30.995267056
148,2339,PROVENANCE,78367,87174,124411,2.083589e+06,2.27639877e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:33.995264996
149,2339,PROVENANCE,92053,101044,142145,2.094677e+06,2.63439008e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:33.995264996
150,,PROVENANCE,,,,,,2339,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:33.995264996
151,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:33.995264996
152,2399,PROVENANCE,78486,87272,124439,2.083589e+06,2.33641795e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:36.995230757
153,2399,PROVENANCE,92175,101108,142299,2.094677e+06,2.70295151e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:36.995230757
154,,PROVENANCE,,,,,,2399,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:36.995230757
155,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:36.995230757
156,2459,PROVENANCE,78560,87340,124533,2.083589e+06,2.39763547e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:39.995324044
157,2459,PROVENANCE,92283,101168,142339,2.094677e+06,2.77406913e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:39.995324044
158,,PROVENANCE,,,,,,2459,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:39.995324044
159,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:39.995324044
160,2519,PROVENANCE,78688,87389,124957,2.083589e+06,2.45785286e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:42.995320880
161,2519,PROVENANCE,92347,101220,142654,2.094677e+06,2.84336697e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:42.995320880
162,,PROVENANCE,,,,,,2519,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:42.995320880
163,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:42.995320880
164,2579,PROVENANCE,78681,87389,125638,2.083589e+06,2.52209654e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:45.995346032
165,2579,PROVENANCE,92334,101264,143188,2.094677e+06,2.91876222e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:45.995346032
166,,PROVENANCE,,,,,,2579,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:45.995346032
167,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:45.995346032
168,2639,PROVENANCE,78674,87347,125597,2.083589e+06,2.57590512e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:48.995308148
169,2639,PROVENANCE,92246,101144,142863,2.094677e+06,2.9802884e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:48.995308148
170,,PROVENANCE,,,,,,2639,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:48.995308148
171,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:48.995308148
172,2699,PROVENANCE,78565,87324,125638,2.083589e+06,2.63601387e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:51.995240984
173,2699,PROVENANCE,92204,101139,143122,2.094677e+06,3.05151767e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:51.995240984
174,,PROVENANCE,,,,,,2699,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:51.995240984
175,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:51.995240984
176,2700,PROVENANCE,78560,87315,125604,2.083589e+06,2.63676716e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:54.995227508
177,2700,PROVENANCE,92175,101133,142863,2.094677e+06,3.05241564e+08,,,dispatcher_total_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:54.995227508
178,,PROVENANCE,,,,,,2700,,dispatcher_enforcment_count,COUNTER,mem-ingestion,20,2019-11-22 11:23:54.995227508
179,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,20,2019-11-22 11:23:54.995227508
180,2700,PROVENANCE,78560,87315,125604,2.083589e+06,2.63676716e+08,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,20,2019-11-22 11:23:57.995277276
