,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
111,,PROVENANCE,,,,,,11046,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:06.255925951
112,11176,PROVENANCE,4.365500123e+09,1.2329054152e+10,4.6136404184e+10,1.02345574108e+11,2.09715709928163e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:09.255377951
113,,PROVENANCE,,,,,,11176,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:09.255377951
114,11308,PROVENANCE,4.417232369e+09,1.2581076637e+10,4.8035153382e+10,1.0275762069e+11,2.19213780248231e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:12.255271985
115,,PROVENANCE,,,,,,11308,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:12.255271985
116,11458,PROVENANCE,4.493450473e+09,1.2869074244e+10,5.0043002315e+10,1.07127083659e+11,2.30134257764993e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:15.255176131
117,,PROVENANCE,,,,,,11458,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:15.255176131
118,11648,PROVENANCE,4.593207927e+09,1.3229721941e+10,5.3088292617e+10,1.09579823134e+11,2.44272227061046e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:18.255374152
119,,PROVENANCE,,,,,,11650,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:18.255374152
120,11851,PROVENANCE,4.702552812e+09,1.3698595857e+10,5.6693463633e+10,1.12306548321e+11,2.59887803843006e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:21.255461955
121,,PROVENANCE,,,,,,11851,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:21.255461955
122,12038,PROVENANCE,4.800511405e+09,1.4053666111e+10,6.03776335e+10,1.16146752607e+11,2.74376188673588e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:24.255376621
123,,PROVENANCE,,,,,,12038,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:24.255376621
124,12251,PROVENANCE,4.91570472e+09,1.4460449526e+10,6.4530177887e+10,1.19701376018e+11,2.92365399033632e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:27.255874028
125,,PROVENANCE,,,,,,12251,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:27.255874028
126,12492,PROVENANCE,5.028729292e+09,1.4989319313e+10,6.8433553884e+10,1.22658690963e+11,3.12346982163016e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:30.255587474
127,,PROVENANCE,,,,,,12492,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:30.255587474
128,12747,PROVENANCE,5.183005556e+09,1.5597875078e+10,7.2238366693e+10,1.257013834e+11,3.3461600167868e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:33.255200302
129,,PROVENANCE,,,,,,12750,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:33.255200302
130,13030,PROVENANCE,5.338815711e+09,1.619612089e+10,7.6123260648e+10,1.2818517486e+11,3.5946060992638e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:36.255721074
131,,PROVENANCE,,,,,,13030,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:36.255721074
132,13309,PROVENANCE,5.489953595e+09,1.6894788582e+10,7.9305341975e+10,1.29474046718e+11,3.84844963011087e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:39.255197619
133,,PROVENANCE,,,,,,13310,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:39.255197619
134,13638,PROVENANCE,5.674903768e+09,1.7615127149e+10,8.3081691429e+10,1.34201823607e+11,4.16041142579879e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:42.255812419
135,,PROVENANCE,,,,,,13639,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:42.255812419
136,13959,PROVENANCE,5.846032321e+09,1.836653428e+10,8.6108294176e+10,1.37075354894e+11,4.46374839426421e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:45.255878196
137,,PROVENANCE,,,,,,13959,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:45.255878196
138,14256,PROVENANCE,5.972580072e+09,1.9107001114e+10,8.9705532031e+10,1.38076622329e+11,4.75769309919032e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:48.255992487
139,,PROVENANCE,,,,,,14256,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:48.255992487
140,14593,PROVENANCE,6.178424885e+09,2.0083778898e+10,9.329829602e+10,1.42370739953e+11,5.0949693791863e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:51.255215816
141,,PROVENANCE,,,,,,14596,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:51.255215816
142,14910,PROVENANCE,6.391397641e+09,2.0862795374e+10,9.6190751166e+10,1.46008594011e+11,5.42397745366375e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:54.255249480
143,,PROVENANCE,,,,,,14920,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:54.255249480
144,15256,PROVENANCE,6.592366008e+09,2.1860799894e+10,9.8901061995e+10,1.49721555448e+11,5.78843304036398e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:44:57.255223660
145,,PROVENANCE,,,,,,15263,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:44:57.255223660
146,15610,PROVENANCE,6.79059615e+09,2.2855480008e+10,1.01885815537e+11,1.50769745398e+11,6.17205214248321e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:45:00.255200305
147,,PROVENANCE,,,,,,15618,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:45:00.255200305
148,15975,PROVENANCE,7.03180793e+09,2.3985410202e+10,1.04349042897e+11,1.54639850358e+11,6.57443206769448e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:45:03.255382614
149,,PROVENANCE,,,,,,15975,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:45:03.255382614
150,16405,PROVENANCE,7.310733119e+09,2.5428252263e+10,1.07380751523e+11,1.58903475534e+11,7.05915245727624e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:45:06.255184077
151,,PROVENANCE,,,,,,16408,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:45:06.255184077
152,16833,PROVENANCE,7.635491517e+09,2.7132228727e+10,1.10227687609e+11,1.62539343073e+11,7.55393102520613e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:45:09.255243586
153,,PROVENANCE,,,,,,16841,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:45:09.255243586
154,17281,PROVENANCE,7.99495169e+09,2.875994266e+10,1.13048079892e+11,1.64668354481e+11,8.08721670361685e+14,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,200,2019-09-20 12:45:12.255200040
155,,PROVENANCE,,,,,,17302,,dispatcher_enforcment_count,COUNTER,time-to-violation,200,2019-09-20 12:45:12.255200040
